Code,ServiceRR,PropertyName,Location,Address,Class1Interchanges,Latitude,Longitude
29,GSWR,LockeFarms,Dawson,"618 W Lee Street, Dawson, GA 39842","NS,CSX",31.775486,-84.459345
30,GSWR,Texpar,Bainbridge,"Industrial Blvd, Bainbridge, GA 39842","NS,CSX",30.979254,-84.626347
32,VR,CJB Industries,Valdosta,"701 Hil Harbin Industrial Blvd, Valdosta, GA 31601","NS,CSX",30.802035,-83.281429
33,VR,Georgia Petroleum,Valdosta,"1620 James P. Rodgers Dr,Valdosta, GA 31601","NS,CSX",30.79704,-83.27804
34,VR,Standlee,Valdosta,"700 Gil Harbin Industrial Blvd, Valdosta, GA 31601","NS,CSX",30.803865,-83.28088
48,HOG,Lyle Farms,Cobb,"3782 US Highway 280 E, Cobb, GA 31735","NS,CSX",31.95765,-83.97522
49,HOG,Lyle Farms,Cordele,"3465 Old Penia Road, Cordele, GA 31015","NS,CSX",31.9644,-83.72004
63,GSWR,GSWR Choice Terminal,Bainbridge,"414 4th Ramp, Bainbridge, GA 39817","NS,CSX",30.912095,-84.593382
177,GC,Global Commodities,Pembroke,"4014 Hwy 280 East, Pembroke, GA 31321","NS,CSX",32.13054,-81.55474
178,GC,Griffin Industries,Dublin,"Hwy 80, Dublin, GA 31027","NS,CSX",32.56003,-82.82052
179,GC,McLendon Enterpireses,Elabell,"5585 GA Hwy 204, Ellabell, GA 31308","NS,CSX",32.135921,-81.438487
180,GC,Meherrin Fertilizer,Claxton,"3298 Hwy 280, Claxton, GA 30417","NS,CSX",32.14958,-81.96189
186,IMRR,Specialized Rail Transport,Springfield,"1500 North Grand Avenue East, Springfield, IL 62705","	BNSF,CN,CSX, NS,UP",39.814265,-89.631893
10,IMRR,Agridyne,Perkins,"1615 South Second Street, Perkins, IL 61554","	BNSF,CN,KCS, NS,UP",40.551088,-89.669781
40,IMRR,American Milling,Pekin,"1811 American St., Pekin, IL 61554","	BNSF,CN,CSX, NS,UP",40.55131,-89.66736
188,TPW,Scharf Carri Materials CO,East Peoria,"300 Carver Lane, East Peoria, IL 61611","	BNSF,CN,CSX, NS,UP",40.671508,-89.537835
60,ISRR,Spectrum Logistics,Evansville,"1 Ossenberg Ln, Evansville, IN 47725","NS,CSX",38.093827,-87.555626
61,ISRR,First Class Services,Petersburg,"202 W. Illinois St, Petersburg, IN 47567","NS,CSX",38.474065,-87.284618
187,TPW,Co-Alliance LLP,Reynolds,"500 North Boone, Reynolds, IN 47980","BNSF,CN,CSX,NS,UP",40.753629,-86.876531
189,TPW,Smith Transport,Remington,"3507 West US Hwy 24, Remington, IN 47977","BNSF,CN,CSX,NS,UP",40.765689,-87.114641
190,TPW,Plastic Express,Remington,"3 South Maine Street, Remington, IN 47977","BNSF,CN,CSX,NS,UP",40.761071,-87.153977
191,TPW,TPW Hoosier Lift,Wolcott,"11864 US 24 West, Wolcott, IN 47995","BNSF,CN,CSX,NS,UP",40.843176,-87.05933
3,IORY,Choice Terminal,Cincinnati,"629 Lunken Park Drive, Cincinnati, OH 45226","NS,CSX,CN,CFE,WE",39.113947,-84.417812
