Location,State,Address,Service Provider,marker-color,lon,lat
Fort Lauderdale,FL,"890 SW 21st Avenue Ft. Lauderdale, FL 33312",CSXT,red,-80.16982633,26.10930634
Tampa,FL,"504 North 34th Street Tampa, FL 33605",CSXT,red,-82.42449244,27.95102415
Sanford,FL,"2591 West 5th Street Sanford, FL 32771",CSXT,red,-81.293601,28.80734774
Jacksonville,FL,"3796 Warrington Street Jacksonville, FL 32254",CSXT,red,-81.71906052,30.32676676
Savannah,GA,"2351 Tremont Road Savannah, GA 31405",CSXT,red,-81.14060897,32.06939951
Charleston,SC,"1990 Tuxbury Lane North Charleston, SC 29405",CSXT,red,-79.95386027,32.83539839
Montgomery,AL,"2057 Bell Street Montgomery, AL 36104",CSXT,red,-86.34423027,32.37319196
New Orleans,LA,"7801 Almonaster Ave. New Orleans, LA 70126",CSXT,red,-89.99527721,30.00945135
Memphis,TN,"1400 Warford Street Memphis, TN 38108",CSXT,red,-89.9613859,35.17049012
North Haven,CT,"110 Universal Drive North Haven, CT 06473",CSXT,red,-72.87346748,41.34340632
Wilmington,DE,"1205 Centerville Road Wilmington, DE 19808",CSXT,red,-75.6160043,39.73136581
Tampa Port,FL,"2151 Gatx Drive Tampa, FL 33605",CSXT,red,-82.43270845,27.91673674
Atlanta Tilford,GA,"1592 Marietta Blvd NW Atlanta, GA 30318",CSXT,red,-84.43548475,33.79807094
Atlanta,GA,"1000 Chattahoochee Avenue N.W. Atlanta, GA 30318",CSXT,red,-84.42024373,33.79908197
Augusta,GA,"1765 Essie McIntyre Boulevard Augusta, GA 30904",CSXT,red,-82.00325283,33.45852129
Dalton,GA,"107 McFarland Road Dalton, GA 30720",CSXT,red,-84.96504349,34.73010696
East Chicago,IN,"1401 West 145th Street East Chicago, IN 46312",CSXT,red,-87.48968967,41.63177221
Indianapolis,IN,"855 South Emerson Avenue Indianapolis, IN 46203",CSXT,red,-86.08233072,39.75508335
Louisville,KY,"7550 Grade Lane Louisville, KY 40219",CSXT,red,-85.73870702,38.13941114
New Orleans,LA,"7801 Almonaster Ave. New Orleans, LA 70126",CSXT,red,-89.9953249,30.00937831
Maine,ME,"20 Rigby Road South Portland, Maine 04106",CSXT,red,-70.29484492,43.62664339
Maryland,MD,"1525 Andre Street Baltimore, MD 21230",CSXT,red,-76.59152356,39.26730178
Westborough,MA,"19 Walkup Drive Westborough, MA 01581",CSXT,red,-71.57893127,42.27147846
Detroit Central,MI,"177 South Rosa Parks Boulevard Detroit, MI 48216",CSXT,red,-83.11483101,42.35897962
Grand Rapids,MI,"945 Freeman Avenue S.W. Grand Rapids, MI 49503",CSXT,red,-85.70861928,42.94351368
Elizabeth,NJ,"454 York Street Elizabeth, NJ 07201",CSXT,red,-74.18678146,40.66149354
Albany,NY,"1 Exchange Street Albany, NY 12205",CSXT,red,-73.77882803,42.68319028
Buffalo,NY,"1254 William Street Buffalo, NY 14206",CSXT,red,-78.82487362,42.88591711
Syracuse,NY,"200 Welch Street East Syracuse, NY 13057",CSXT,red,-76.06901427,43.06266594
Charlotte West,NC,"6816 CSX Way Charlotte, NC 28214",CSXT,red,-80.92260875,35.27400399
Charlotte East,NC,"601 North Hoskins Road Charlotte, NC 28216",CSXT,red,-80.878688,35.27331192
Raleigh,NC,"1090 Capital Boulevard Raleigh, NC 27603",CSXT,red,-78.63971475,35.7955105
Cincinnati,OH,"3601 Geringer Street Cincinnati, OH 45223",CSXT,red,-84.54464646,39.14681941
Cleveland Central,OH,"2700 West 3rd Street Cleveland, OH 44113",CSXT,red,-81.6750967,41.47694894
Cleveland East,OH,"610 East 152nd Street Cleveland, OH 44110",CSXT,red,-81.576999,41.56309568
Columbus,OH,"3100 Lockbourne Road Columbus, OH 43207",CSXT,red,-82.96558756,39.89447087
Toledo,OH,"1601 Miami Street Toledo, OH 43605",CSXT,red,-83.53212997,41.6218869
Butler,PA,"137 Center Avenue Butler, PA 16001",CSXT,red,-79.89142313,40.8565967
Philadelphia,PA,"3600 Moore Street Philadelphia, PA 19145",CSXT,red,-75.20194469,39.93212296
Pittsburgh,PA,"200 Courtland Street Pittsburgh, PA 15207",CSXT,red,-79.94624766,40.40449439
South Carolina,SC,"1990 Tuxbury Lane North Charleston, SC 29405",CSXT,red,-79.953879,32.8353864
Greenville,SC,"130 Willard Street Greenville, SC 29601",CSXT,red,-82.41774567,34.85591684
Chattanooga,TN,"520 West 26th Street Chattanooga, TN 37408",CSXT,red,-85.31896278,35.02765141
Knoxville,TN,"2200 Volunteer Boulevard Knoxville, TN 37916",CSXT,red,-83.93375905,35.94750348
Nashville,TN,"426 Chestnut Street Nashville, TN 37203",CSXT,red,-86.76885849,36.14417133
Richmond,VA,"2300 West Laburnum Avenue Richmond, VA 23223",CSXT,red,-77.39619813,37.57767809
Fairmont,WV,"900 Washington Street Fairmont, WV 26554",CSXT,red,-80.12677377,39.48713425
Louisville,KY,"4913 Heller St. Louisville, KY 40218",NS,blue,-85.65656321,38.1818867
