Property Address,Property Name,PropertyType,Star Rating,Energy Star,LEED Certified,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,Market Name,Submarket Name,Leasing Company Name,Leasing Company Contact,Submarket Cluster,City,State,Zip,County Name,Sale Company Name,Sale Company Contact,For Sale Price,For Sale Status,Last Sale Date,Last Sale Price,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Tenancy,FEMA Map Date,FEMA Map Identifier,FIRM ID,FIRM Panel Number,In SFHA,Floodplain Area,Latitude,Longitude,Company Name,marker-color
NE 13th Ave,Industrial Outdoor Storage Site,Land,2,,,,Existing,,,Not Disclosed,Industrial,Portland,Airport Way,,,Northeast,Portland,OR,97211-1673,Multnomah,,,,N,1/11/99,"1,500,000",,,,,,Single,01/01/1900,,,,Yes,100-year Floodplain,45.588377,-122.6503291,Oak Harbor Freight Lines,red
9026 NE 13th Ave,,Industrial,3,,,C,Existing,40115,,$10.69 - 13.07 (Est.),Distribution,Portland,Airport Way,,,Northeast,Portland,OR,97211,Multnomah,,,,N,,,100.00,1996,,40115,,Single,01/01/1900,,,,No,100-year and 500-year Floodplain,45.586427,-122.650494,Oak Harbor Freight Lines,red
2440 E Church Ave,,Industrial,2,,,C,Existing,14225,,$5.10 - 6.24 (Est.),Distribution,Fresno,Southeast Fresno,,,Fresno County,Fresno,CA,93706,Fresno,,,,N,1/30/24,"2,800,000",100.00,1951,,14225,0.00,Single,02/18/2009,06019C2110H,06019C,2110H,No,500-year Floodplain,36.713687,-119.782161,Oak Harbor Freight Lines,red
2100 N Dragoon St,,Industrial,1,,,B,Existing,5600,,$9.17 - 11.21 (Est.),Distribution,Tucson,NW Tucson/Oro Valley,,,North,Tucson,AZ,85745,Pima,,,,N,7/8/22,"850,000",100.00,1985,,5600,0.89,Single,06/16/2011,04019C2276L,04019C,2276L,No,100-year and 500-year Floodplain,32.247107,-110.99883,Oak Harbor Freight Lines,red
4115 Fruitvale Ave,,Industrial,2,,,C,Existing,3068,,$9.83 - 12.01 (Est.),Distribution,Bakersfield,Northwest Bakersfield,Voit Real Estate Services,David Fults,Northwest Bakersfield,Bakersfield,CA,93308,Kern,,,,N,2/4/22,,100.00,1980,,3068,4.56,Single,10/21/2021,06029C1825F,06029C,1825F,No,100-year and 500-year Floodplain,35.3971165,-119.0750612,Oak Harbor Freight Lines,red
833 S Maple Ave,,Industrial,2,,,C,Existing,19000,,$11.59 - 14.16 (Est.),Truck Terminal,Los Angeles,Montebello,,,Central Los Angeles,Montebello,CA,90640-5409,Los Angeles,,,,N,,,100.00,1961,,19000,1.26,Single,09/26/2008,06037C1830F,06037C,1830F,No,100-year and 500-year Floodplain,34.000136,-118.122832,Oak Harbor Freight Lines,red
645 N Nola Rd,,Industrial,2,,,B,Existing,13827,,$10.47 - 12.80 (Est.),Truck Terminal,Boise,Meridian,,,Meridian,Meridian,ID,83642,Ada,,,,N,,,100.00,1998,,13827,,Single,06/19/2020,16001C0251J,16001C,0251J,No,100-year and 500-year Floodplain,43.6108,-116.372932,Oak Harbor Freight Lines,red
607 E Penn St,,Industrial,1,,,B,Existing,4000,,$9.12 - 11.15 (Est.),Warehouse,,Washington State Area,,,Washington State,Moses Lake,WA,98837-1806,Grant,,,,N,3/28/22,,100.00,1964,,4000,,Single,02/18/2009,53025C1070C,53025C,1070C,No,100-year and 500-year Floodplain,47.1318151,-119.2684259,Oak Harbor Freight Lines,red
8960 Terabyte Dr,,Industrial,2,,,C,Existing,14460,,$10.40 - 12.71 (Est.),Distribution,Reno,South Reno,,,South Reno,Reno,NV,89521-5932,Washoe,,,,N,4/30/18,"2,976,701",100.00,1999,,14460,,Single,03/16/2009,32031C3253G,32031C,3253G,No,500-year Floodplain,39.4518822,-119.747895,Oak Harbor Freight Lines,red
8970 Terabyte Dr,,Industrial,2,,,C,Existing,9100,,$10.34 - 12.63 (Est.),Distribution,Reno,South Reno,,,South Reno,Reno,NV,89521,Washoe,,,,N,4/30/18,"1,873,299",100.00,1999,,9100,4.23,Single,03/16/2009,32031C3253G,32031C,3253G,No,500-year Floodplain,39.451323,-119.7479943,Oak Harbor Freight Lines,red
Cheyenne Ave,M-2 Zoned Site,Land,3,,,,Existing,,,Not Disclosed,Industrial,Las Vegas,North Las Vegas,,,North Las Vegas,North Las Vegas,NV,89032,Clark,,,,N,10/24/05,"2,672,096",,,,,,,11/16/2011,32003C2160F,32003C,2160F,No,100-year and 500-year Floodplain,36.2178488,-115.1711403,Oak Harbor Freight Lines,red
6450 Poe Ave,Sand Lake Plaza,Office,4,,,A,Existing,141150,7839,$20.00,,Dayton,North Dayton,Crest Commercial Realty,Timothy Albro,North Dayton,Dayton,OH,45414-2600,Montgomery,,,,N,,,100.00,1987,2004,23274,2.13,Multi,01/06/2005,39113C0154E,39113C,0154E,No,100-year and 500-year Floodplain,39.8410945,-84.1885285,Dayton Freight Lines,blue
3551 5th Ave,,Industrial,2,,,C,Existing,15960,,$5.59 - 6.83 (Est.),Truck Terminal,Davenport,East Moline,,,East Moline,East Moline,IL,61244,Rock Island,,,,N,7/24/13,"1,100,000",100.00,,,15960,,Single,02/18/2011,19163C0395F,17161C,0395F,No,100-year and 500-year Floodplain,41.5272485,-90.4037976,Dayton Freight Lines,blue
4606 16th Ave NW,FedEx Fargo,Industrial,2,,,B,Existing,12480,,$8.60 - 10.51 (Est.),Distribution,Fargo,Fargo,,,North Dakota,Fargo,ND,58103-3224,Cass,,,,N,3/11/22,"1,200,000",100.00,2000,,12480,2.80,Single,01/16/2015,38017C0588G,38017C,0588G,No,100-year and 500-year Floodplain,46.9013029,-96.8643264,Dayton Freight Lines,blue
1594 W 130th St,1594 West 130th Street,Land,2,,,,Existing,,,Not Disclosed,Industrial,Cleveland,Medina County,,,Medina County,Brunswick,OH,44212,Medina,,,,N,8/5/22,"2,252,037",,,,,,,08/19/2013,39103C0156E,39103C,0156E,No,100-year and 500-year Floodplain,41.233129,-81.7870994,Dayton Freight Lines,blue
15 Ashland Ct,15 Ashland Ct,Land,2,,,,Existing,,,Not Disclosed,Commercial,Peoria,Outlying Tazewell County,,,Outlying Tazewell County,Morton,IL,61550,Tazewell,,,,N,6/19/24,"699,619",,,,,,,02/17/2017,17179C0201E,17179C,0201E,No,100-year and 500-year Floodplain,40.6248973,-89.4720149,Dayton Freight Lines,blue
1406 Blatt Blvd,,Industrial,2,,,C,Existing,16585,,$6.34 - 6.87 (Est.),Truck Terminal,Columbus,Airport,,,Northeast,Gahanna,OH,43230-6627,Franklin,,,,N,,,100.00,1999,,16585,0.96,Single,01/06/2012,39045C0025G,39049C,0025G,No,100-year and 500-year Floodplain,39.9946686,-82.8307063,Dayton Freight Lines,blue
1215 Broadway St,,Industrial,1,,,C,Existing,3533,,$6.52 - 7.97 (Est.),Warehouse,,,,,,Burlington,IA,52601,Des Moines,,,,N,11/15/12,"50,000",100.00,1978,,3533,,Single,10/21/2021,19057C0266F,19057C,0266F,No,100-year and 500-year Floodplain,40.8098854,-91.1574853,Dayton Freight Lines,blue
103 Cairns Rd,,Industrial,3,,,B,Existing,40995,,$3.58 - 4.28 (Est.),Truck Terminal,Mansfield,Richland County,,,Richland County,Mansfield,OH,44903,Richland,,,,N,6/16/10,"1,925,000",100.00,2006,,40995,0.98,Single,04/04/2011,39139C0142E,39139C,0142E,No,100-year and 500-year Floodplain,40.8047346,-82.5208121,Dayton Freight Lines,blue
1213 E Center St,1213 E Center Street,Retail,3,,,C,Existing,6885,,$10.48 - 12.80 (Est.),Auto Repair,,,,,,Ithaca,MI,48847-1605,Gratiot,,,,N,,,100.00,1994,,6885,0.73,,10/18/2011,26057C0200C,26057C,0200C,No,100-year and 500-year Floodplain,43.2919989,-84.5891128,Dayton Freight Lines,blue
12140 Chandler Dr,Dayton Freight Liners,Industrial,2,,,C,Existing,12000,,$5.99 - 7.32 (Est.),Truck Terminal,Cincinnati,Florence/Richwood,,,Northern Kentucky,Walton,KY,41094-9673,Boone,,,,N,,,100.00,1995,,12000,5.00,Single,08/05/2010,21081C0050A,21015C,0050A,No,100-year and 500-year Floodplain,38.867,-84.633404,Dayton Freight Lines,blue
28360 Clay St,,Industrial,2,,,B,Existing,17850,,$3.53 - 4.31 (Est.),Truck Terminal,Elkhart,Outlying Elkhart County,,,Elkhart County,Elkhart,IN,46517,Elkhart,,,,N,,,100.00,1988,,17850,5.38,Single,08/02/2011,18039C0117D,18039C,0117D,No,100-year and 500-year Floodplain,41.660856,-86.009989,Dayton Freight Lines,blue
8230 Clyde Park Ave SW,Dayton Freight,Industrial,2,,,C,Existing,26174,,$7.00 - 8.56 (Est.),Distribution,Grand Rapids,Byron/Gaines,,,Kent County,Byron Center,MI,49315,Kent,,,,N,,,100.00,2004,,26174,3.02,Single,,,,,No,,42.8146178,-85.6808562,Dayton Freight Lines,blue
423 Commerce St,,Industrial,2,,,C,Existing,7950,,$9.49 - 11.60 (Est.),Truck Terminal,Bowling Green,,,,,Bowling Green,KY,42101,Warren,,,,N,,,100.00,1988,,7950,,Single,05/02/2007,21227C0169E,21227C,0169E,No,100-year and 500-year Floodplain,37.0170727,-86.3875966,Dayton Freight Lines,blue
800 Commerce Parkway Dr S,,Industrial,3,,,C,Existing,141000,,$7.17 - 7.24 (Est.),Truck Terminal,Indianapolis,Johnson County,,,Far South Counties,Greenwood,IN,46143,Johnson,,,,N,,,100.00,2009,,141000,,Single,08/02/2007,18081C0135D,18081C,0135D,No,100-year and 500-year Floodplain,39.6047402,-86.0596363,Dayton Freight Lines,blue
1899 E Crescentville Rd,,Industrial,2,,,C,Existing,11336,,$7.81 - 9.55 (Est.),Truck Terminal,Cincinnati,Tri-County,"Wooster Motor Ways, Inc.",Dave Funk,Northern Cincinnati,Cincinnati,OH,45246-2036,Hamilton,,,,N,4/4/12,"1,094,000",100.00,1996,,11336,9.70,Multi,10/19/2018,39017C0341F,39061C,0341F,No,100-year and 500-year Floodplain,39.295956,-84.424594,Dayton Freight Lines,blue
2811 E Crescentville Rd,,Industrial,2,,,C,Existing,8774,,$6.75 - 8.25 (Est.),Service,Cincinnati,Tri-County,,,Northern Cincinnati,Cincinnati,OH,45241,Hamilton,,,,N,1/19/16,"700,000",100.00,,,8774,,Single,10/19/2018,39017C0341F,39061C,0341F,No,100-year and 500-year Floodplain,39.295321,-84.424825,Dayton Freight Lines,blue
W Division St,10.6 Acres,Land,2,,,,Existing,,,Not Disclosed,Industrial,Chicago,Joliet/Central Will,,,South Suburban,Lockport,IL,60441,Will,,,,N,2/22/12,"5,200,000",,,,,,,02/15/2019,17197C0134G,17197C,0134G,No,100-year and 500-year Floodplain,41.5762469,-88.1295638,Dayton Freight Lines,blue
18577 Dix-Toledo Hwy,P Jax Transport,Industrial,3,,,B,Existing,41160,,$6.86 - 8.39 (Est.),Truck Terminal,Detroit,Downriver South,"Woodhurst Realty, LLC",Donald Hammel,Downriver,Brownstown,MI,48193-8467,Wayne,,,,N,3/20/14,"3,210,527",100.00,1994,,41160,1.82,Multi,02/02/2012,26163C0411E,26163C,0411E,Yes,100-year Floodplain,42.17457,-83.234977,Dayton Freight Lines,blue
3011 Enloe St,,Industrial,3,,,C,Existing,44727,,$8.40 - 8.49 (Est.),Distribution,Minneapolis,St Croix County,,,St Croix County,Hudson,WI,54016,St  Croix,,,,N,3/11/22,"4,450,000",100.00,,,44727,0.72,Multi,11/16/2011,55093C0025E,55109C,0025E,No,100-year and 500-year Floodplain,44.944739,-92.706755,Dayton Freight Lines,blue
Executive Blvd,Vacant Land,Land,2,,,,Existing,,,Not Disclosed,Industrial,Dayton,Northeast Central Dayton,,,Northeast Central Dayton,Dayton,OH,45424,Montgomery,,,,N,11/23/11,"400,000",,,,,,,03/17/2011,39057C0005D,39113C,0005D,No,100-year and 500-year Floodplain,39.8706792,-84.1187746,Dayton Freight Lines,blue
6265 Executive Blvd,,Industrial,2,,,C,Existing,18000,,$5.51 - 6.73 (Est.),Warehouse,Dayton,Northeast Cent Dayton,,,Northeast Cent Dayton,Huber Heights,OH,45424-1400,Montgomery,,,,N,,,100.00,1978,,18000,5.56,Single,03/17/2011,39057C0005D,39113C,0005D,No,100-year and 500-year Floodplain,39.871462,-84.122684,Dayton Freight Lines,blue
6275 Executive Blvd,,Industrial,2,,,B,Existing,15000,,$6.60 - 8.07 (Est.),Warehouse,Dayton,Northeast Cent Dayton,D & C Partnership,,Northeast Cent Dayton,Huber Heights,OH,45424,Montgomery,,,,N,,,100.00,1988,,15000,,Multi,03/17/2011,39057C0005D,39113C,0005D,No,100-year and 500-year Floodplain,39.872037,-84.121873,Dayton Freight Lines,blue
