,gh,Latitude,Longitude
0,4,34.9274691,-82.166262
1,14,34.7493377,-81.2017504
2,38,33.703731,-79.8074035
3,55,33.924064,-78.726812
4,76,34.2837997,-81.6406821
5,89,32.6983806,-80.8767945
6,97,32.9412236,-80.6301932
7,121,34.541856,-82.014172
8,127,33.922928,-80.952324
9,168,33.5602211,-81.3042332
10,169,33.2801413,-80.434404
11,189,34.642097,-80.389239
12,190,33.8831452,-79.7803052
13,191,34.6149031,-79.6685141
14,236,33.4630527,-80.4651249
15,247,32.8891827,-79.7751958
16,275,32.2056996,-81.074888
17,288,31.9469176,-90.9761301
18,337,30.313495,-92.029459
19,360,31.2054317,-92.4228227
20,381,30.6079409,-91.1627387
21,388,32.2989986,-90.8970945
22,394,31.5654291,-91.3637252
23,399,30.3921995,-91.0548073
24,432,30.333686,-93.201274
25,442,31.0621634,-92.0759552
26,443,30.3123768,-92.0264823
27,445,30.580507,-92.027826
28,448,30.3950881,-91.0426846
29,452,30.6722399,-92.2576408
30,453,30.4387541,-81.5678702
31,454,28.7152691,-81.5922626
32,461,28.008908,-82.380564
33,479,27.7467537,-82.6739749
34,526,28.2575287,-81.6643079
35,530,28.555964,-81.4255273
36,547,28.793132,-81.3008061
37,551,28.637689,-81.813525
38,586,29.221422,-82.170272
39,595,27.5349564,-82.5118484
40,701,26.0980119,-80.3638054
41,717,30.651236,-84.662263
42,724,28.1487609,-81.8762232
43,727,28.4380085,-81.1528147
44,730,26.8976421,-80.2806594
45,772,26.5019433,-81.7816641
46,780,30.523732,-82.957879
47,890,30.6133559,-86.9513496
48,902,34.8564269,-79.7095687
49,923,34.3276779,-78.6959076
50,931,35.89726,-78.842263
51,939,35.9328358,-81.5404178
52,959,35.7454661,-81.5734817
53,966,35.139177,-79.437794
54,969,35.201637,-78.439699
55,972,35.8507876,-79.0832949
56,976,35.7801707,-80.9193982
57,981,35.12888,-80.9358101
58,1023,36.1345084,-79.9695222
59,1077,35.3287044,-78.6783335
60,1108,35.2901715,-77.549767
61,1113,36.360753,-78.981468
62,1126,34.302075,-78.189166
63,1149,35.7239062,-77.9192585
64,1167,35.3429932,-81.8748373
65,1263,35.3041809,-82.4114429
66,1310,34.9586899,-78.9080416
67,1318,35.3817256,-80.6990714
68,1327,36.0512445,-79.4842485
69,1368,35.0554937,-86.882543
70,1369,36.106174,-89.270653
71,1373,36.302039,-88.842784
72,1381,35.2830352,-89.6760577
73,1385,35.9563884,-85.7916234
74,1396,35.3844745,-84.3080665
75,1431,36.10392,-84.57896
76,1436,36.3914491,-86.1526056
77,1451,36.4448893,-89.0492337
78,1463,35.1712583,-84.8331375
79,1469,36.491639,-86.857227
80,1473,35.8555084,-89.4041525
81,1491,36.0933721,-88.9971433
82,1505,36.0028116,-83.8889179
83,1506,36.1335162,-85.5421542
84,1509,35.8672645,-83.4971867
85,1519,36.273621,-87.3536942
86,1523,35.0889073,-90.0555602
87,1557,35.540596,-89.650982
88,1579,36.5586506,-81.7688847
89,1610,35.3372683,-86.1792075
90,1660,30.4044896,-88.8617198
91,1663,29.9965596,-91.840431
92,1664,33.1472334,-87.5329732
93,1666,31.3773985,-89.3297606
94,1671,32.938152,-85.94376
95,1675,30.3940164,-89.0895707
96,1684,32.3562979,-90.3628242
97,1687,34.781147,-86.6579563
98,1694,31.5613708,-89.2324628
99,1696,31.4151635,-86.097583
100,1702,30.4264828,-90.0350597
101,1707,35.0602534,-92.413487
102,1710,32.4080582,-93.9010682
103,1725,32.363953,-90.66986
104,1738,36.0773287,-90.4869838
105,1740,33.444411,-88.8378896
106,1751,33.9245863,-93.8526522
107,1757,33.8753546,-89.1747351
108,1758,34.9105143,-89.9968979
109,1760,33.4802335,-88.3871997
110,1775,34.6282644,-92.4668403
111,1779,33.6093214,-92.0749963
112,1788,34.8174224,-86.9663138
113,1791,32.302415,-90.143718
114,1803,32.0680038,-93.7574592
115,1810,33.5737968,-86.4827871
116,1816,33.9892401,-86.1219378
117,1820,32.4442017,-92.1031179
118,1821,29.9635116,-90.047896
119,1825,30.9985983,-87.2599112
120,1832,29.9876044,-90.2826236
121,1838,29.6482716,-90.6919307
122,1848,34.4829226,-88.6643286
123,1854,34.6853686,-89.0155577
124,1857,31.96143,-87.6910962
125,1858,32.3448398,-89.6781363
126,1861,34.1849903,-85.7601665
127,1871,34.8623139,-92.3939399
128,1874,32.5646647,-89.1089754
129,1876,33.2021886,-92.6160415
130,1883,30.2319176,-92.6840568
131,1896,28.192527,-82.510256
132,1938,28.4792238,-82.4623169
133,1942,28.6439619,-82.0542016
134,1971,28.767837,-82.556852
135,1980,28.3113998,-82.1857465
136,1995,27.2077587,-81.7872086
137,1996,27.0408676,-81.9555067
138,1999,26.6906767,-80.366856
139,2000,26.41654,-81.398198
140,2002,26.694985,-80.6793015
141,2004,27.25314,-80.81711
142,2009,32.8063987,-86.5983924
143,2011,31.84431,-86.625003
144,2013,31.4243429,-86.9701823
145,2016,32.491859,-88.2873883
146,2017,32.4134067,-88.6224455
147,2056,33.905819,-84.804669
148,2063,33.316473,-83.3902581
149,2073,34.9547243,-83.3790637
150,2080,33.5762841,-83.4898789
151,2092,34.68247,-84.4889855
152,2098,31.5204553,-83.8111245
153,2103,31.1984929,-83.7904672
154,2104,31.5036,-82.8833
155,2105,34.30756,-84.422246
156,2154,34.137272,-84.257718
157,2162,31.9895155,-81.2129902
158,2166,33.0469506,-83.2247315
159,2203,33.5470588,-84.3436337
160,2245,32.7305688,-82.7138401
161,2266,34.2020714,-85.1925249
162,2270,32.5437868,-82.8641262
163,2276,30.8858026,-84.2041451
164,2299,34.0327645,-84.5535761
165,2317,33.0244689,-84.7117977
166,2374,33.8322645,-84.4675771
167,2421,27.095084,-82.435657
168,2475,25.7221861,-80.3174296
169,2509,29.3784772,-81.5115857
170,2513,29.8694941,-81.3340414
171,2541,27.346226,-82.537883
172,2552,26.7781222,-80.0659428
